Drink_ID,Name,Ingredients
213,Billy Taylor,1787;1948;2105;
214,Bishop,1965;2030;2055;2163;
215,Bitch-On-Wheels,1817;1934;2061;2105;
216,Black Baltimore,1818;1921;1996;
217,Black Devil,1817;1943;2077;
218,Black Hawk,1785;1825;2097;
219,Blackjack #1,1942;1994;2107;2153;
220,Black Maria,1943;1965;2160;2211;
221,Black Monday,1908;1996;2116;2153;
222,Black Pagoda,1817;1921;1942;2112;
223,Black Russian,1969;2045;
224,Black Stripe Cold,1806;2081;2116;2127;2156;
225,Black Velvet,1864;2024;
226,Blackjack #2,1850;1921;2211;
227,Blackthorn,2097;2112;2123;
228,Blarney Stone Cocktail,1771;1899;1905;1942;2077;2124;
229,Blimey,1915;2107;2206;
230,Blinder,1811;2107;2133;
231,Bloodhound Cocktail,1817;2076;2105;2112;
232,Bloody Bull,1787;2045;2099;2108;2163;
233,Bloody Maria,1860;1917;2108;2153;2163;2191;
234,Bloody Mary,1787;1860;1987;2045;2108;2153;
235,Blue Cowboy,2026;2105;2156;
236,Blue Devil Cocktail,1905;2026;2105;2163;
237,Blue Hawaiian,1784;1825;1943;1990;2026;2212;
238,Blue Lagoon,1731;1825;2026;2045;
239,Blue Margarita,1780;1915;2026;2191;
240,Blue Mountain,1944;2045;2078;2153;2174;
241,Bluebird,1835;1942;1942;2031;2105;2123;
242,Bobby Burns Cocktail,2080;2107;2112;2123;
243,Bolero,1943;2112;2177;
244,Bombay Cocktail,1817;1899;1921;1942;2112;
245,Boomerang,1817;1835;1905;2031;2105;
246,Border Crossing,1787;1904;1915;2153;2191;
247,Bosom Caresser,1921;1942;2072;2156;
248,Boston Cocktail,1811;1960;2105;2163;
249,Boston Sidecar,1787;1921;1942;1943;
250,Boston Sour,1785;1818;1825;1965;2163;2163;
251,Bourble,1942;1978;2153;
252,Bourbon and Branch,1978;2081;
253,Bourbon Black Hawk,1978;2031;2097;
254,Bourbon Black Hawk #2,1978;2031;2097;2153;2206;
255,Bourbon Cobbler #1,1859;1978;2031;2055;2163;2206;
256,Bourbon Cobbler #2,1787;1859;1978;2076;2206;2212;
257,Bourbon Cooler,1978;2117;2163;
258,Bourbon County Cowboy,1770;1978;
259,Bourbon Daisy,1811;1978;2031;2055;2153;2206;
260,Bourbon Fix,1978;2031;2081;2153;2163;2206;
261,Bourbon Flip,1749;1766;1770;1978;2206;
262,Bourbon Highball,1948;1978;2123;
263,Bourbon Milk Punch,1749;1855;1906;1978;2206;
264,Bourbon Milk Punch #2,1978;1988;2138;2206;
265,Bourbon Milk Punch #3,1749;1978;1988;2216;
266,Bourbon Old-Fashioned,1835;1978;2031;2055;2081;2206;
267,Bourbon Sling,1978;2081;2123;2153;2206;
268,Bourbon Sour,1978;2031;2055;2153;2206;
269,Bourbon Swizzle,1835;1859;1915;1978;2156;2206;
270,Boxcar,1811;1818;1942;2105;2153;
271,Brainstorm,2080;2107;2112;
272,Brandied Egg Sour,1766;1921;1942;2153;2206;
273,Brandied Madeira,1817;1921;2072;2123;
274,Brandy Alexander,1749;1855;1921;2216;
275,Brandy Alexander #2,1749;1884;1921;2062;
276,Brandy And Soda,1859;1921;
277,Brandy Blazer,1921;2055;2123;2206;
278,Brandy Cobbler,1859;1921;2031;2055;2163;2206;
279,Brandy Cocktail,1835;1921;2086;2123;
280,Brandy Collins,1825;1921;1948;1965;2055;2163;
281,Brandy Cooler,1921;2117;2163;
282,Brandy Daisy,1811;1921;2031;2055;2153;2206;
283,Brandy Fix,1921;1965;2081;2163;2163;
284,Brandy Fizz,1859;1921;2153;2206;
285,Brandy Flip,1749;1766;1770;1921;2206;
286,Brandy Highball,1921;1948;2123;
287,Brandy Milk Punch,1749;1921;1965;1988;
288,Brandy Sangaree,1749;1921;1948;1965;2059;2081;
289,Brandy Sling,1921;2081;2123;2153;2206;
290,Brandy Smash,1759;1859;1921;2031;2055;2206;
291,Brandy Sour,1825;1921;1965;2163;2163;
292,Brandy Swizzle,1835;1859;1915;1921;2156;2206;
293,Brandy Toddy,1921;1965;2081;2123;
294,Brandy Vermouth Cocktail,1835;1921;2112;
295,Brantini,1817;1921;2105;2123;
296,Brave Bull,1969;2123;2191;
297,Brazil Cocktail,1817;1834;1835;1899;
298,Brian's Belief,1979;2078;2153;2206;2216;
299,Broken Spur Cocktail,1942;2059;2112;
300,Bronx Cocktail (Dry),1817;2055;2055;2105;
301,Bronx Golden Cocktail,1808;1817;2055;2055;2105;2112;
302,Bronx Silver Cocktail,1817;1818;2055;2105;
303,Bronx Terrace Cocktail,1787;1817;1825;2105;
304,Brown Bomber,1770;1993;2062;
305,Brown Cocktail,1817;1943;2105;
306,Buck Jones,1787;1812;1834;1943;
307,Buddy's Favorite,1978;2081;
308,Bull's Eye,1812;1921;2149;
309,Bull's Milk,1749;1921;1943;1965;1988;2138;
310,Bulldog Cocktail,1787;1908;2105;
311,Bulldog Highball,1812;2055;2105;
312,Bumbo,1749;1811;2116;2153;
313,Burgundy Bishop,1943;1965;2030;2163;
314,Burnt Embers,1960;1990;2078;
315,Bushranger #1,1757;1835;1943;2123;
316,Bushranger #2,1757;1835;1943;
317,Button Hook Cocktail,1899;1921;1934;1960;
318,Cabaret,1817;1835;2031;2080;2105;
319,Cablegram,1785;1812;1965;2163;
320,Cactus Bite,1835;1942;2110;2153;2191;2206;
321,Cafe de Paris,1818;1853;1884;2105;
322,Cafe De Paris Cocktail,1770;1818;1899;2105;
323,Caipirinha,1787;1795;2206;
324,Caleigh,2026;2062;2107;
325,California Dream,1817;2031;2112;2191;
326,California Lemonade,1785;1787;1811;1948;1965;2163;
327,Calm Voyage,1818;1943;2130;2153;2183;
328,Campbell F. Craig,1783;1990;2174;2191;
329,Canadian Cherry,1902;1908;2153;2174;
330,Canadian Cocktail,1835;1902;1942;1965;
331,Canadian Pineapple,1902;1905;1990;2153;2212;
332,Cape Of Good Will,1915;1943;1960;2162;2174;
333,Cappucino Cocktail,1770;2045;2160;
334,Capri,1739;1770;2062;
335,Captain Cook,1905;2105;2174;
336,Captain's Table,1811;1812;2031;2056;2105;2174;
337,Caramel Nut,2007;2034;2054;2062;2161;
338,Cardinal,1811;1905;1942;2078;
339,Caroli,1960;2105;2156;2162;
340,Carrol Cocktail,1825;1921;2112;
341,Caruso,1744;1817;2105;
342,Caruso Blanco,1817;1934;2105;
343,Casa Blanca,1905;1915;1942;1943;
344,Casino Cocktail,1825;1905;2105;2153;2162;
345,Casino Royale,1808;1905;2105;2153;2162;
346,Catherine Of Sheridan Square,1770;1944;2116;2156;2211;
347,Celtic Mix Cocktail,1771;1835;2107;2153;
348,Champagne Cocktail,1835;2024;2123;2206;
349,Champs Elysees Cocktail,1835;1921;1936;1965;2163;
350,Chapala,1811;1942;2055;2153;2174;2191;
351,Charger,1908;2116;2153;2206;
352,Charles Cocktail,1835;1921;2112;
353,Charlie Chaplin,1960;2097;2153;
354,Chelsea Hotel,1942;2105;2153;
355,Cherie,1787;1825;1908;1942;1943;
356,Cherried Cream Rum,1770;1908;1943;
357,Cherry Blossum,1811;1825;1908;1921;1942;2153;
358,Cherry Fizz,1825;1908;1948;2163;
359,Cherry Flip,1749;1766;1770;1908;1965;
360,Cherry Rum,1770;1908;1943;
361,Cherry Sling,1908;2123;2163;
362,Chi-Chi,1784;1825;1990;2045;2212;
363,Chicago Fizz,1818;1943;1948;1965;2059;2163;
364,Chocolate Black Russian,1994;2007;2045;
365,Chocolate Cocktail,1818;1936;1965;2059;
366,Chocolate Mint Rum,1770;1814;1934;2116;2216;
367,Chocolate Rum,1814;1934;1943;2062;2151;
368,Chocolate Snow Bear,1906;2007;2016;2062;2104;
369,Chocolate Soldier,1757;1787;2105;
370,Chocolatier,1943;1945;2007;2062;
371,Choker,1835;2061;2107;
372,City Slicker,1921;1942;2153;
373,Clamato Cocktail,2045;2050;2108;
374,Claridge Cocktail,1817;1942;1960;2105;
375,Climax,1739;1770;1942;2045;2062;2104;
376,Clove Cocktail,1910;2097;2112;
377,Clover Club Cocktail,1811;1818;2105;2163;
378,Clover Leaf Cocktail,1759;1811;1818;2105;2163;
379,Cocomacoque,1943;1990;2030;2163;2174;2212;
380,Coconut Toastie,1943;2007;2018;2161;
381,Coffee Flip,1749;1766;1770;1921;1965;2059;
382,Coffee Grasshopper,1770;1934;2160;
383,Coffee Sour,1818;1965;2153;2160;
384,Cognac Highball,1732;1948;2123;
385,Colonial Cocktail,1905;2077;2105;2133;
386,Combo,1817;1835;1921;1942;1965;
387,Comforting Tiger,1921;2071;2112;2123;2156;
388,Commodore Cocktail,1785;1965;2162;2163;
389,Communicator,2116;2208;2216;
390,Compadre,1811;1905;2162;2191;
391,Confirmed Bachelor,1811;1818;1929;2105;2156;
392,Continental,1744;1915;1943;1965;2123;
393,Cooperstown Cocktail,1759;1817;2105;2112;
394,Corkscrew,1817;1943;2038;2123;
395,Cornell Cocktail,1818;1905;2105;2153;
396,Cornwall-Nash,1908;1942;1943;2031;2105;2133;
397,Coronation Cocktail,1757;1817;2105;
398,Corpse Reviver,1921;1934;2009;
399,Cosmos,1915;1943;2156;2206;
400,Country Club Cooler,1811;1817;1948;2123;2169;
401,Cream Fizz,1770;1948;1965;2105;2163;
402,Creamsicle,1790;1988;2174;
403,Creamy Orange,1770;1834;1921;2174;
404,Creamy Screwdriver,1808;2045;2174;2206;
405,Creme De Gin Cocktail,1818;1934;2105;2153;2174;
406,Creole,1780;1789;1860;1943;2099;2153;
407,Crimson Sunset,1811;2105;2153;2180;
408,Crystal Slipper Cocktail,2026;2105;2162;
409,Cuba Libre,1787;1904;1943;
410,Cuban Cocktail No. 1,1787;1943;1965;
411,Cul-De-Sac,1796;2078;
412,Daiquiri,1787;1943;1965;
413,Damn-The-Weather Cocktail,1942;2105;2112;2174;
414,Damn-Your-Eyes,1757;1817;2078;2123;
415,Dance With A Dream Cocktail,1853;1921;1942;
416,Daring Dylan,1994;2039;2156;2191;
417,David Bareface,1884;1943;2062;
418,Deauville Cocktail,1921;1942;2163;2177;
419,Deep Dark Secret,1884;1994;2078;2116;
420,Delmonico Cocktail,1817;1835;1921;2105;2112;2123;
421,Delmonico No. 1,1817;1921;2105;2112;2123;
422,Dempsey Cocktail,1811;1899;2105;2177;
423,Derby Daiquiri,1915;1943;2174;2206;
424,DeRosier,1884;1908;1978;2078;2216;
425,Devil's Cocktail,1817;2059;2153;
426,Diamond Fizz,1965;2024;2105;2163;
427,Dianne-On-The-Tower,1908;1943;1978;2216;
428,Dickie Ward,1787;1812;1835;2107;
429,Dinah Cocktail,1759;1785;1965;2163;
430,Diplomat,1817;1825;1835;1905;2112;2163;
431,Dirty Dick's Downfall,1817;2056;2105;2123;
432,Dirty Mother,1921;1994;
433,Dirty White Mother,1770;1921;1994;
434,Dixie Cocktail,1817;1899;2055;2105;
435,Dixie Dew,1934;1942;1978;
436,Dixie Julep,1759;1965;1978;
437,Dixie Stinger,1934;1978;2071;
438,Dixie Whiskey Cocktail,1835;1934;1942;1965;1978;
439,Doctor Dawson,1766;1835;1859;2153;2191;2206;
440,Doralto,1758;1787;1835;2153;2191;2206;
441,Dragonfly,1787;1812;2105;
442,Dream Cocktail,1853;1921;1942;
443,Dressed Up Like A Dogs Dinner,1921;2112;2152;
444,Droog's Date Cocktail,1908;1915;1942;1943;
445,Dry Rob Roy,1817;2107;2123;
446,Du Barry Cocktail,1817;1835;1899;2055;2105;
447,Dubonnet Cocktail,1757;1835;2105;2123;
448,Dubonnet Fizz,1757;1908;1948;2055;2163;
449,Duchess,1817;1899;2112;
450,Dutch Velvet,1770;1945;1956;2047;
451,East India Cocktail No. 1,1825;1835;1921;1942;1990;2033;
452,East India Cocktail No. 2,1817;1834;1835;
453,El Presidente Cocktail No. 1,1787;1811;1943;1990;
454,Elephant Lips,1739;2116;2153;
455,Elk's Own Cocktail,1785;1818;1965;2059;2163;2212;
456,Emerald Forest,1744;1934;2105;2156;
457,Emerald Isle Cocktail,1744;1835;2105;
458,Emerson,1787;1905;2105;2112;
459,English Highball,1921;1948;2105;2112;2123;
460,English Rose Cocktail,1811;1817;1825;1960;2105;2153;
461,Entwistle's Error,1758;2116;2153;
462,Ethel Duffy Cocktail,1934;1942;1960;
463,European,1757;1817;1834;2031;2044;2105;
464,Everybody's Irish Cocktail,1744;1771;1797;2077;
465,Executive Sunrise,1931;2174;2202;
466,Eye-Opener,1808;1942;1943;2061;2062;2206;
467,Fairy Belle Cocktail,1811;1818;1960;2105;
468,Fallen Angel,1825;1835;1934;2105;2163;
469,Fancy Bourbon,1835;1942;1978;2123;2206;
470,Fancy Brandy,1835;1921;1942;1965;2123;
471,Fancy Gin,1835;1942;1965;2105;2123;
472,Fancy Scotch,1835;1942;2107;2123;2206;
473,Fancy Whiskey,1785;1835;1942;1965;2123;
474,Fantasio Cocktail,1817;1905;1921;1934;
475,Farmer Giles,1817;1835;2105;2112;2123;
476,Farmer's Cocktail,1817;1835;2105;2112;
477,Fastlap,1811;2061;2105;2174;
478,Fat Face,1811;1818;1960;2105;
479,Favorite Cocktail,1817;1960;2105;2153;
480,Fifth Avenue,1770;1960;2062;
481,Fifty-Fifty,1817;2077;2105;
482,Fifty-fifty Cocktail,1817;2105;
483,Fino Martini,1834;2105;2123;
484,Fireman's Sour,1811;1859;1915;1943;2031;2055;
485,Flamingo Cocktail,1787;1811;1960;2105;
486,Fleet Street,1817;1942;2105;2112;2153;
487,Flirting With The Sandpiper,1908;1943;2162;2174;
488,Florida,1850;1942;2105;2153;2174;
489,Flying Dutchman,1942;2105;
490,Flying Scotchman,1835;2086;2107;2112;
491,Fog Cutter,1921;1943;2105;2153;2174;2207;
492,Fontainebleau Special,1817;1853;1921;
493,Fort Lauderdale,1787;1943;2055;2055;2112;
494,Fox And Hounds,1818;1978;2061;2153;2206;
495,Fox River Cocktail,1785;1835;2062;
496,Foxy Lady,1770;2062;2104;
497,Frankenjack Cocktail,1817;1825;1942;1960;2105;
498,Freddy Fudpucker,2174;2191;2208;
499,Free Silver,1948;1965;1988;2105;2116;2163;
500,French 75,2024;2031;2055;2105;2153;2206;
501,French 125,1921;1940;2024;2163;
502,French Connection,1732;2104;
503,Frisco Sour,1785;1787;1787;2080;2163;2163;
504,Froth Blower Cocktail,1811;1818;2105;
505,Frozen Apple,1818;1915;2152;2206;
506,Frozen Berkeley,1921;1943;2153;2183;
507,Frozen Brandy And Rum,1818;1921;1943;1965;2153;
508,Frozen Daiquiri,1825;1915;1942;1943;2156;2206;
509,Frozen Margarita #1,1780;1787;1915;1942;2156;2191;
510,Frozen Matador,1915;1990;2191;2212;
511,Frozen Mint Daiquiri,1759;1915;1943;2206;
512,Frozen Pineapple Daiquiri,1915;1943;2206;2212;
513,Gareth Glowworm,1884;1908;1943;2062;
514,Gates Of Hell,1908;1915;2153;2156;2191;
515,Gauguin,1825;1915;1943;2153;2183;
516,Gent Of The Jury,1817;2105;2176;
517,Gentleman's Club,1859;1921;2105;2112;
518,Gilroy Cocktail,1817;1908;2105;2162;2163;
519,Gimlet,1787;1929;2105;
520,Gin And Bitter Lemon,1758;2105;2153;2206;
521,Gin And It,2105;2112;
522,Gin And Pink,1758;1835;2105;2123;
523,Gin And Sin,1811;2105;2153;2174;
524,Gin And Tonic,1758;1787;2105;
525,Gin Buck,1812;2105;2163;
526,Gin Cobbler,1859;2031;2055;2105;2163;2206;
527,Gin Cocktail,1835;2105;2123;
528,Gin Cooler,1948;1965;2105;2123;2169;
529,Gin Daisy,1811;2031;2055;2105;2153;2206;
530,Gin Fix,2031;2081;2105;2153;2163;2206;
531,Gin Fizz,1948;1965;2105;2163;
532,Gin Highball,1948;2105;2123;
533,Gin Milk Punch,1749;1965;1988;2105;
534,Gin Rickey,1787;1787;1948;2105;
535,Gin Sangaree,1749;1948;1965;2059;2081;2105;
536,Gin Sling,1965;2081;2105;2124;2163;
537,Gin Smash,1759;1825;1948;2055;2105;2206;
538,Gin Sour,2031;2055;2105;2153;2206;
539,Gin Squirt,1811;1948;1965;2076;2105;2212;
540,Gin Swizzle,1835;1859;1915;2105;2206;
541,Gin Toddy,1965;2081;2105;2123;
542,Gin-Cassis Fizz,1859;2105;2153;2202;2206;
543,Godchild,1884;2045;2104;
544,Godfather,2104;2107;
545,Godmother,2045;2104;
546,Golden Bronx,1808;1817;2105;2112;2174;
547,Golden Cadillac,1770;2062;2208;
548,Golden Daze,1821;2105;2174;
549,Golden Fizz,1808;1948;2105;2163;2206;
550,Golden Slipper,1808;1936;1960;
551,Grand Master,1859;2107;2123;2193;
552,Grapefruit Cocktail,1825;1905;2105;2133;
553,Grapefruit Nog,1766;1921;2127;2133;2153;
554,Grass Skirt,1811;1942;1990;2105;2212;
555,Grasshopper,1744;1770;2062;
556,Green Demon,1731;1825;1875;2033;2045;
557,Green Devil,1744;1759;1915;2105;
558,Green Dragon,1744;2089;2105;2162;2163;
559,Green Fizz,1744;1818;1948;1965;2105;2163;
560,Green Opal,1853;1899;2105;
561,Greenback,1744;2105;2153;
562,Greenham's Grotto,1921;2105;2153;2207;
563,Greyhound,2105;2133;
564,Grog,2081;2116;
565,Gypsy,2031;2105;2112;
566,Gypsy Cocktail,1825;2105;2112;
567,H.P.W. Cocktail,1817;2105;2112;2124;
568,Haidin-Haidin,1817;1835;1943;2123;
569,Hair Raiser,1932;2045;2153;
570,Harlem Cocktail,1905;1990;2105;2212;
571,Harvard Cooler,1948;1965;2123;2169;2177;
572,Harvey Wallbanger,2045;2174;2208;
573,Hasty Cocktail,1811;1817;1899;2105;
574,Hat Trick #1,1943;2112;2116;
575,Hat Trick #2,1817;1835;1943;2123;
576,Havana Cocktail,1943;1990;2153;
577,Hawaiian Cocktail,1942;1990;2105;
578,Headless Horseman,1812;1835;2045;2055;
579,Highland Fling Cocktail,2077;2107;2112;2162;
580,Highland Sling,2081;2107;2123;2153;2206;
581,Hokkaido Cocktail,1942;2025;2105;
582,Hole-In-One,2107;2137;2153;2162;
583,Honeymoon Cocktail,1942;2080;2163;2177;
584,Honolulu Cocktail No. 2,1905;2080;2105;
585,Hoots Mon,1762;2107;2112;
586,Hop Toad,1787;1943;1960;
587,Hornpipe,1818;1908;2105;
588,Horse And Jockey,1835;2071;2078;2112;
589,Horse's Neck,1812;1835;1921;2123;
590,Horsley's Honor,1817;1942;2055;2105;2152;
591,Hot Gold,2104;2138;2174;
592,Hot Springs Cocktail,1905;1990;2032;2162;
593,Hotel Plaza Cocktail,1817;2105;2112;2212;
594,Howell Says So,1942;2104;2116;2153;2162;
595,Hudson Bay,1814;1908;1915;2105;2174;
596,Hummer,1943;1969;2007;
597,Hurricane,1915;1943;2116;2183;
598,Ice-Cream Flip,1749;1766;1905;1942;2007;
599,Ice Palace,1943;1960;1990;2055;2153;2208;
600,Ideal Cocktail,1817;1825;1905;2105;2133;
601,Iguana,1787;1940;1969;2045;2191;
602,Immaculata,1915;1943;2104;2153;2206;
603,Imperial Fizz,1785;1943;1948;1965;2163;
604,Irish Rickey,1771;1787;1787;1948;
605,Irish Spring,1771;1821;1825;1940;2055;2174;
606,Italian Delight,1825;2104;2151;2174;
607,Italian Heather,1787;2107;2156;2208;
608,Italian Sombrero,1770;2104;
609,J. R.'s Godchild,1978;1988;2104;
610,J. R.'s Godfather,1978;2104;
611,J. R.'s Revenge,1835;1978;2071;
612,Jack Rose Cocktail,1787;1811;2177;
613,Jack-In-The-Box,1835;1990;2177;
614,Jade,1744;1787;1915;1942;1943;1965;
615,Jamaica Glow,2030;2033;2105;2174;
616,Jamaica Hop,1770;2062;2160;
617,Jamaican Banana,1739;1802;1855;1943;2007;2062;
618,James The Second Comes First,1817;1835;2107;2180;
619,Japanese,1835;1915;1921;2002;2207;
620,Japanese Fizz,1785;1818;1948;1965;2059;2163;
621,Jersey Lightning,1787;2112;2177;
622,Jet Black,1996;2105;2112;
623,Jewel Cocktail,1797;1825;2105;2112;2162;
624,Jewel Of The Nile,1797;1936;2105;
625,Jeyplak Cocktail,1825;1899;2105;2112;
626,Jillionaire,1811;1818;1942;1978;
627,Jock Collins,1859;2031;2055;2107;2153;2206;
628,Jock-In-A-Box,1766;2107;2112;2153;
629,Jocose Julep,1744;1759;1915;1948;1978;2206;
630,Joe Collins,1825;1904;1940;2107;
631,John Collins,1859;1978;2031;2055;2153;2206;
632,Johnnie Cocktail,1853;1942;2097;
633,Jolly Rancher,1811;1825;1940;1972;2003;
634,Jonesey,2116;2216;
635,Joulouville,1811;2105;2112;2153;2177;
636,Journalist Cocktail,1817;1835;1942;2105;2112;2153;
637,Joy-To-The-World,1978;2078;2216;
638,Judgette Cocktail,1787;1817;1821;1825;2105;
639,K.G.B.,1850;1960;2105;2123;2153;2206;
640,K.G.B. Cocktail,1960;2089;2105;2123;2153;
641,Kamikaze,1915;1942;2045;
642,Kentucky B And B,1978;2080;
643,Kentucky Colonel,1978;2080;2123;
644,Kentucky Colonel Cocktail,1978;2080;2123;
645,King Cole Cocktail,1785;1965;2055;2212;
646,Kiss-In-The-Dark,1817;1908;2105;
647,Klondike Cooler,1785;1948;1965;2123;2169;
648,Knickerbocker Cocktail,1817;2105;2112;2123;
649,Knock-Out Cocktail,1817;1825;1899;1934;2105;
650,Krazee Keith,1853;1904;1908;1943;2153;2163;
651,Kretchma Cocktail,1811;2045;2062;2153;
652,L'aird Of Summer Isle,1990;2061;2107;
653,La Jolla,1739;1921;2153;2174;
654,La Stephanique,1835;1942;2105;2112;
655,Ladies Cocktail,1785;1835;1853;2212;
656,Lady Be Good,1921;1934;2112;
657,Lady Finger,1850;1908;2105;
658,Lady Love Fizz,1770;1818;1948;1965;2105;2163;
659,Lamb Brothers,1990;2116;2202;
660,Landed Gentry,1884;1944;2116;
661,Lasky Cocktail,2017;2105;2145;
662,Lawhill Cocktail,1785;1817;1835;1899;1905;
663,Leaning Tower,1817;2105;2156;2162;
664,Leap Frog Highball,1812;2105;2163;
665,Leap Year Cocktail,2044;2105;2112;2153;
666,Leave-It-To-Me Cocktail No. 2,1905;2021;2105;2153;
667,Lil Naue,1808;1921;1960;1965;2059;2138;
668,Linstead Cocktail,1785;1899;1990;2153;2206;
669,Little Princess Cocktail,1943;2112;
670,Loch Lomond,1817;2107;2110;2123;
671,London Buck,1905;2086;2105;2123;2162;
672,London Town,1905;2105;2162;
673,Lone Tree Cocktail,2105;2112;
674,Lone Tree Cooler,1817;1948;1965;2105;2123;2169;
675,Long Island Tea,1904;1943;2045;2105;2163;2191;
676,Lord And Lady,1944;2116;
677,Los Angeles Cocktail,1766;1785;1965;2112;2163;
678,Love For Toby,1908;1915;1921;1943;
679,Ludwig And The Gang,1835;2045;2071;2078;2104;2156;
680,Lugger,1921;1960;2177;
681,Ma Bonnie Wee Hen,1811;1834;2107;2153;2174;
682,Ma Wee Hen,1811;1834;2107;2153;2174;
683,Macbeth's Dream,2104;2107;2153;2162;2165;2206;
684,Madras,1787;2045;2101;2174;
685,Maestro,1812;1834;1915;2078;2123;2156;
686,Mai Tai,1825;1940;1942;1943;2207;
687,Maiden's Blush,1908;1942;2031;2105;2153;
688,Maiden's Prayer,1942;2105;2153;
689,Maiden-No-More,1921;1942;2105;2153;
690,Malibu Wave,1787;1940;1942;2026;2191;
691,Mallelieu,1943;2044;2174;
692,Mamie Gilroy,1787;1812;2107;
693,Man Of The Moment,1811;2044;2107;2153;
694,Mandeville,1811;1853;1904;1943;2116;2153;
695,Manhasset,1785;1817;2112;2153;
696,Manhattan Dry #2,1785;1817;2077;
697,Manila Fizz,1766;1965;2105;2163;2168;
